origin_tts2022,destination_tts2022,trip_count,distance_between_taz_km,vkt,distance_total,total_vkt_reduced,total_co2_reduced_daily_g,yearly_co2_reduced_g,yearly_co2_reduced_tonnes
6123,6125,319.0,2.649223412255388,845.1022685094688,845.1022685094688,169.02045370189376,34818.213462590116,10445464.038777035,10.445464038777034
6235,6201,312.0,2.329269484189776,726.7320790672101,726.7320790672101,145.346415813442,29941.361657569054,8982408.497270716,8.982408497270717
6202,6171,308.0,4.14526214316186,1276.7407400938528,1276.7407400938528,255.34814801877056,52601.71849186673,15780515.54756002,15.78051554756002
6204,6173,308.0,4.015244198171095,1236.6952130366972,1236.6952130366972,247.33904260733945,50951.842777111924,15285552.833133576,15.285552833133577
6182,6178,307.0,2.096816305785733,643.7226058762201,643.7226058762201,128.74452117524402,26521.371362100268,7956411.4086300805,7.95641140863008
6222,6215,305.0,3.077988045499473,938.7863538773393,938.7863538773393,187.75727077546787,38677.99777974638,11603399.333923914,11.603399333923914
6241,6225,302.0,2.03911669035197,615.813240486295,615.813240486295,123.162648097259,25371.505508035352,7611451.652410606,7.611451652410606
6196,6243,295.0,7.359856246447146,2171.157592701908,2171.157592701908,434.2315185403816,89451.69281931862,26835507.845795587,26.835507845795586
6215,6222,294.0,2.919548409269004,858.3472323250871,858.3472323250871,171.66944646501744,35363.905971793596,10609171.791538078,10.609171791538078
6199,6171,285.0,3.684823199999699,1050.1746119999143,1050.1746119999143,210.03492239998286,43267.19401439647,12980158.20431894,12.98015820431894
6199,6179,285.0,2.507028071524459,714.5030003844707,714.5030003844707,142.90060007689416,29437.523615840197,8831257.084752059,8.831257084752059
6125,6123,284.0,2.628307427147966,746.4393093100223,746.4393093100223,149.28786186200446,30753.29954357292,9225989.863071876,9.225989863071876
6243,6196,284.0,9.31504312585316,2645.4722477422974,2645.4722477422974,529.0944495484595,108993.45660698265,32698036.982094795,32.69803698209479
6234,6243,281.0,5.140344256856205,1444.4367361765937,1444.4367361765937,288.88734723531877,59510.79353047567,17853238.0591427,17.8532380591427
6225,6228,279.0,4.166098435263494,1162.341463438515,1162.341463438515,232.46829268770298,47888.46829366682,14366540.488100044,14.366540488100044
6239,6209,279.0,2.933720417061025,818.5079963600259,818.5079963600259,163.70159927200518,33722.52945003307,10116758.835009921,10.116758835009922
6243,6247,279.0,3.971646301952544,1108.0893182447599,1108.0893182447599,221.61786364895198,45653.279911684105,13695983.973505232,13.695983973505232
6173,6204,276.0,4.408196163503126,1216.6621411268627,1216.6621411268627,243.33242822537255,50126.480214426745,15037944.064328024,15.037944064328023
6218,6230,272.0,4.029417207860469,1096.0014805380474,1096.0014805380474,219.2002961076095,45155.260998167556,13546578.299450267,13.546578299450267
6195,6250,269.0,6.360742645086579,1711.0397715282897,1711.0397715282897,342.20795430565795,70494.83858696553,21148451.576089658,21.14845157608966
6244,6247,269.0,5.054879972098615,1359.7627124945272,1359.7627124945272,271.9525424989055,56022.223754774524,16806667.126432355,16.806667126432355
6123,6173,268.0,3.659861311313788,980.8428314320952,980.8428314320952,196.16856628641904,40410.72465500232,12123217.396500695,12.123217396500696
6201,6235,265.0,2.299797133115558,609.4462402756229,609.4462402756229,121.8892480551246,25109.185099355665,7532755.5298067,7.5327555298067
6215,6250,265.0,4.819410700475989,1277.143835626137,1277.143835626137,255.4287671252274,52618.326027796844,15785497.808339054,15.785497808339054
6250,6215,265.0,5.047739405309972,1337.6509424071426,1337.6509424071426,267.5301884814285,55111.21882717428,16533365.648152284,16.533365648152284
6181,6214,258.0,4.725749384246276,1219.2433411355391,1219.2433411355391,243.84866822710785,50232.82565478422,15069847.696435265,15.069847696435266
6214,6181,258.0,4.964206666842342,1280.7653200453242,1280.7653200453242,256.15306400906485,52767.53118586736,15830259.355760207,15.830259355760207
6220,6207,257.0,2.317221750325925,595.5259898337627,595.5259898337627,119.10519796675254,24535.670781151024,7360701.234345308,7.360701234345307
6222,6225,257.0,6.063457426407076,1558.3085585866186,1558.3085585866186,311.6617117173237,64202.312613768685,19260693.784130607,19.260693784130606
6197,6261,255.0,2.27738126738418,580.7322231829659,580.7322231829659,116.14644463659317,23926.167595138195,7177850.278541459,7.177850278541459
6173,6123,252.0,3.654028639194648,920.8152170770513,920.8152170770513,184.16304341541027,37937.58694357452,11381276.083072355,11.381276083072356
6247,6216,250.0,4.907339219557041,1226.8348048892603,1226.8348048892603,245.36696097785207,50545.593961437524,15163678.188431257,15.163678188431257
6215,6244,249.0,3.212627721548475,799.9443026655703,799.9443026655703,159.98886053311406,32957.7052698215,9887311.58094645,9.887311580946449
6225,6237,244.0,3.91393439124311,954.9999914633189,954.9999914633189,190.9999982926638,39345.99964828874,11803799.894486623,11.803799894486623
6178,6188,240.0,3.334485148874539,800.2764357298893,800.2764357298893,160.05528714597787,32971.38915207144,9891416.745621432,9.89141674562143
6228,6225,238.0,4.560979048867365,1085.5130136304329,1085.5130136304329,217.1026027260866,44723.136161573835,13416940.84847215,13.41694084847215
6223,6199,236.0,3.208143140211185,757.1217810898397,757.1217810898397,151.42435621796795,31193.4173809014,9358025.21427042,9.35802521427042
6224,6211,235.0,9.999497518141137,2349.8819167631673,2349.8819167631673,469.9763833526335,96815.1349706425,29044540.491192747,29.04454049119275
6230,6250,234.0,4.126507393622056,965.6027301075611,965.6027301075611,193.12054602151224,39782.83248043152,11934849.744129457,11.934849744129457
6248,6233,234.0,2.292875283951778,536.5328164447161,536.5328164447161,107.30656328894322,22105.152037522304,6631545.611256692,6.6315456112566915
6243,6250,233.0,7.931458279853087,1848.0297792057693,1848.0297792057693,369.6059558411539,76138.8269032777,22841648.07098331,22.84164807098331
6223,6235,227.0,2.89504208884632,657.1745541681147,657.1745541681147,131.43491083362295,27075.59163172633,8122677.489517898,8.122677489517898
6247,6243,225.0,3.424674041065034,770.5516592396326,770.5516592396326,154.11033184792655,31746.728360672867,9524018.50820186,9.52401850820186
6248,6199,223.0,10.871062695459155,2424.2469810873918,2424.2469810873918,484.8493962174784,99878.97562080054,29963692.686240163,29.96369268624016
6237,6225,221.0,4.537121866146389,1002.703932418352,1002.703932418352,200.54078648367042,41311.40201563611,12393420.604690833,12.393420604690833
6196,6187,216.0,2.777265582216949,599.889365758861,599.889365758861,119.9778731517722,24715.441869265072,7414632.560779522,7.4146325607795225
6208,6225,214.0,4.082547836926646,873.6652371023023,873.6652371023023,174.73304742046048,35995.00776861486,10798502.330584457,10.798502330584457
6243,6237,210.0,4.629845048622366,972.2674602106969,972.2674602106969,194.45349204213937,40057.41936068071,12017225.808204213,12.017225808204213
6118,6178,209.0,3.06958754398204,641.5437966922464,641.5437966922464,128.30875933844928,26431.60442372055,7929481.327116165,7.929481327116165
6171,6185,209.0,4.02790482278448,841.8321079619564,841.8321079619564,168.36642159239128,34683.4828480326,10405044.85440978,10.40504485440978
6216,6247,206.0,4.80108840719088,989.0242118813213,989.0242118813213,197.80484237626428,40747.79752951044,12224339.258853132,12.224339258853131
6199,6197,205.0,3.505749236670988,718.6785935175525,718.6785935175525,143.7357187035105,29609.558052923167,8882867.41587695,8.88286741587695
6200,6199,203.0,2.137716655977878,433.95648116350924,433.95648116350924,86.79129623270185,17879.00702393658,5363702.107180974,5.363702107180974
6208,6250,203.0,4.639667267261805,941.8524552541464,941.8524552541464,188.3704910508293,38804.32115647083,11641296.34694125,11.64129634694125
6247,6208,203.0,3.300529472088751,670.0074828340164,670.0074828340164,134.0014965668033,27604.308292761478,8281292.487828444,8.281292487828443
6250,6208,203.0,4.699260467945399,953.949874992916,953.949874992916,190.7899749985832,39302.73484970814,11790820.454912443,11.790820454912442
6233,6248,202.0,2.448046242367528,494.50534095824065,494.50534095824065,98.90106819164814,20373.620047479515,6112086.014243854,6.112086014243854
6178,6118,201.0,3.089675739782821,621.024823696347,621.024823696347,124.2049647392694,25586.222736289496,7675866.8208868485,7.675866820886848
6199,6223,201.0,3.208799268140872,644.9686528963153,644.9686528963153,128.9937305792631,26572.708499328197,7971812.549798459,7.971812549798459
6256,6214,199.0,8.401120099151658,1671.8228997311799,1671.8228997311799,334.364579946236,68879.10346892462,20663731.040677384,20.663731040677384
6232,6234,195.0,3.516948471840217,685.8049520088423,685.8049520088423,137.16099040176846,28255.164022764304,8476549.20682929,8.47654920682929
6234,6232,195.0,3.421341931364891,667.1616766161537,667.1616766161537,133.43233532323075,27487.061076585534,8246118.322975661,8.246118322975661
6171,6182,194.0,2.065860037475186,400.77684727018607,400.77684727018607,80.15536945403721,16512.006107531666,4953601.8322594995,4.9536018322594995
6233,6204,194.0,4.973765962057486,964.9105966391523,964.9105966391523,192.98211932783047,39754.31658153308,11926294.974459924,11.926294974459923
6209,6243,192.0,5.919883181402278,1136.6175708292374,1136.6175708292374,227.32351416584748,46828.643918164584,14048593.175449375,14.048593175449374
6214,6227,192.0,2.287084723796712,439.12026696896874,439.12026696896874,87.82405339379375,18091.754999121513,5427526.499736453,5.427526499736453
6215,6233,192.0,3.031021024552959,581.9560367141681,581.9560367141681,116.39120734283364,23976.58871262373,7192976.613787118,7.192976613787119
6202,6223,189.0,2.286456228881157,432.1402272585387,432.1402272585387,86.42804545170775,17804.177363051796,5341253.208915539,5.341253208915539
6171,6179,188.0,3.076040877237049,578.2956849205652,578.2956849205652,115.65913698411305,23825.782218727287,7147734.665618186,7.147734665618186
6199,6203,187.0,2.033499147150112,380.26434051707093,380.26434051707093,76.05286810341418,15666.890829303322,4700067.248790996,4.7000672487909965
6264,6187,187.0,7.009597997040715,1310.7948254466137,1310.7948254466137,262.15896508932275,54004.74680840049,16201424.042520147,16.20142404252015
6190,6125,186.0,9.544859807856557,1775.3439242613197,1775.3439242613197,355.06878485226395,73144.16967956637,21943250.903869912,21.943250903869913
6201,6251,186.0,2.73128238194166,508.01852304114874,508.01852304114874,101.60370460822975,20930.36314929533,6279108.944788598,6.279108944788598
6241,6208,186.0,3.039065431281587,565.2661702183751,565.2661702183751,113.05323404367503,23288.966212997057,6986689.863899117,6.986689863899118
6187,6196,185.0,2.805757556093902,519.0651478773718,519.0651478773718,103.81302957547437,21385.484092547722,6415645.227764317,6.415645227764317
6223,6185,184.0,2.735893633052005,503.4044284815689,503.4044284815689,100.6808856963138,20740.262453440642,6222078.736032193,6.222078736032192
6199,6182,183.0,3.148895670336214,576.2479076715272,576.2479076715272,115.24958153430543,23741.413796066918,7122424.138820075,7.122424138820075
6261,6256,182.0,3.856007211027454,701.7933124069966,701.7933124069966,140.35866248139934,28913.88447116826,8674165.341350479,8.674165341350479
6247,6240,180.0,3.588761467715759,645.9770641888366,645.9770641888366,129.19541283776732,26614.25504458007,7984276.513374021,7.984276513374021
6211,6203,177.0,3.422097101892752,605.7111870350171,605.7111870350171,121.14223740700344,24955.30090584271,7486590.271752813,7.486590271752813
6261,6173,177.0,2.350064615590038,415.96143695943675,415.96143695943675,83.19228739188736,17137.611202728796,5141283.3608186385,5.141283360818639
6250,6248,176.0,2.049339336219889,360.6837231747005,360.6837231747005,72.1367446349401,14860.16939479766,4458050.818439298,4.458050818439299
6117,6178,175.0,2.416477203369141,422.88351058959967,422.88351058959967,84.57670211791994,17422.800636291508,5226840.190887452,5.226840190887452
6178,6117,175.0,2.446689605712891,428.1706809997559,428.1706809997559,85.63413619995119,17640.632057189945,5292189.617156983,5.292189617156984
6185,6171,175.0,4.127757713836614,722.3575999214074,722.3575999214074,144.47151998428149,29761.133116761986,8928339.935028596,8.928339935028596
6201,6223,171.0,3.52144421058088,602.1669600093305,602.1669600093305,120.43339200186611,24809.27875238442,7442783.625715326,7.442783625715325
6173,6117,169.0,3.287264485972463,555.5476981293463,555.5476981293463,111.10953962586926,22888.565162929066,6866569.54887872,6.86656954887872
6173,6261,169.0,2.398782114369334,405.39417732841747,405.39417732841747,81.0788354656835,16702.2401059308,5010672.03177924,5.01067203177924
6243,6195,169.0,8.606494254893413,1454.4975290769867,1454.4975290769867,290.89950581539733,59925.29819797185,17977589.459391557,17.977589459391556
6125,6188,168.0,2.558392619577664,429.80996008904754,429.80996008904754,85.96199201780951,17708.170355668757,5312451.106700627,5.312451106700627
6256,6179,168.0,2.976386314582862,500.03290084992085,500.03290084992085,100.00658016998418,20601.35551501674,6180406.654505023,6.180406654505023
6243,6234,167.0,5.236978893778561,874.5754752610197,874.5754752610197,174.91509505220395,36032.50958075401,10809752.874226203,10.809752874226204
6185,6223,166.0,2.737724687739505,454.46229816475784,454.46229816475784,90.89245963295157,18723.846684388023,5617154.005316407,5.617154005316407
6223,6229,164.0,4.432367076716861,726.9082005815651,726.9082005815651,145.38164011631304,29948.617863960484,8984585.359188145,8.984585359188145
6250,6218,164.0,2.786020274997293,456.9073250995561,456.9073250995561,91.38146501991122,18824.581794101712,5647374.538230513,5.647374538230514
6228,6247,162.0,2.905211855305887,470.6443205595537,470.6443205595537,94.12886411191074,19390.546007053614,5817163.802116084,5.817163802116084
6256,6125,161.0,3.737343423185657,601.7122911328908,601.7122911328908,120.34245822657816,24790.5463946751,7437163.91840253,7.43716391840253
6195,6226,159.0,7.139831860362587,1135.2332657976515,1135.2332657976515,227.0466531595303,46771.610550863246,14031483.165258974,14.031483165258974
6188,6202,158.0,3.175796028608665,501.775772520169,501.775772520169,100.3551545040338,20673.161827830965,6201948.548349289,6.201948548349289
6256,6261,158.0,3.866028420744251,610.8324904775917,610.8324904775917,122.16649809551835,25166.29860767678,7549889.582303034,7.5498895823030345
6250,6202,157.0,7.824013346102601,1228.3700953381083,1228.3700953381083,245.67401906762166,50608.84792793006,15182654.378379017,15.182654378379016
6125,6190,156.0,9.52140323437023,1485.3389045617557,1485.3389045617557,297.06778091235117,61195.96286794434,18358788.860383302,18.358788860383303
6197,6262,156.0,2.519103675308104,392.9801733480642,392.9801733480642,78.59603466961285,16190.783141940246,4857234.942582074,4.857234942582074
6197,6200,155.0,5.59936036286371,867.900856243875,867.900856243875,173.580171248775,35757.51527724765,10727254.583174296,10.727254583174295
6227,6214,155.0,2.287084723796712,354.4981321884904,354.4981321884904,70.89962643769807,14605.323046165804,4381596.913849741,4.381596913849741
6231,6250,154.0,2.16029371376822,332.68523192030585,332.68523192030585,66.53704638406117,13706.6315551166,4111989.46653498,4.11198946653498
6248,6250,154.0,2.038482707801919,313.92633700149554,313.92633700149554,62.78526740029911,12933.765084461616,3880129.525338485,3.880129525338485
6261,6199,154.0,3.265175983202824,502.8371014132349,502.8371014132349,100.56742028264699,20716.88857822528,6215066.573467584,6.215066573467585
6208,6247,152.0,3.417831363580012,519.5103672641618,519.5103672641618,103.90207345283237,21403.82713128347,6421148.139385041,6.421148139385041
6239,6250,152.0,2.252200511967777,342.33447781910206,342.33447781910206,68.46689556382042,14104.180486147006,4231254.145844102,4.231254145844102
6188,6256,150.0,3.19227382352504,478.841073528756,478.841073528756,95.7682147057512,19728.252229384747,5918475.668815424,5.918475668815423
6200,6235,150.0,4.082991100071396,612.4486650107094,612.4486650107094,122.48973300214189,25232.88499844123,7569865.499532369,7.569865499532369
6125,6182,149.0,2.033866171508389,303.04605955474995,303.04605955474995,60.609211910949995,12485.497653655699,3745649.2960967096,3.7456492960967096
6247,6173,148.0,24.49964205890359,3625.9470247177314,3625.9470247177314,725.1894049435464,149389.01741837055,44816705.22551116,44.816705225511164
6220,6243,146.0,7.668657424564058,1119.6239839863524,1119.6239839863524,223.9247967972705,46128.50814023772,13838552.442071315,13.838552442071315
6243,6220,146.0,8.38410965431187,1224.0800095295328,1224.0800095295328,244.81600190590657,50432.09639261675,15129628.917785026,15.129628917785027
6197,6173,145.0,4.28344029825742,621.0988432473259,621.0988432473259,124.2197686494652,25589.27234178983,7676781.702536949,7.676781702536949
6199,6200,145.0,2.114569072970065,306.6125155806594,306.6125155806594,61.322503116131884,12632.435641923168,3789730.6925769504,3.7897306925769505
6215,6225,145.0,8.491584671144114,1231.2797773158966,1231.2797773158966,246.25595546317933,50728.726825414946,15218618.047624484,15.218618047624483
6225,6215,145.0,8.607738932080679,1248.1221451516985,1248.1221451516985,249.6244290303397,51422.63238024998,15426789.714074995,15.426789714074996
6173,6197,143.0,4.716381735024998,674.4425881085748,674.4425881085748,134.88851762171495,27787.03463007328,8336110.389021984,8.336110389021984
6196,6190,143.0,2.004132690441531,286.5909747331389,286.5909747331389,57.318194946627784,11807.548159005324,3542264.447701597,3.542264447701597
6256,6188,143.0,3.201955525185197,457.8796401014832,457.8796401014832,91.57592802029664,18864.64117218111,5659392.351654333,5.659392351654333
6223,6201,142.0,3.425765585613575,486.45871315712765,486.45871315712765,97.29174263142554,20042.09898207366,6012629.6946220985,6.012629694622098
6174,6244,141.0,7.35735860642229,1037.3875635055429,1037.3875635055429,207.4775127011086,42740.36761642837,12822110.28492851,12.82211028492851
6213,6243,141.0,6.36113345123369,896.9198166239503,896.9198166239503,179.38396332479007,36953.096444906754,11085928.933472026,11.085928933472026
6229,6250,141.0,2.921297825654479,411.90299341728155,411.90299341728155,82.38059868345631,16970.403328792,5091120.9986376,5.0911209986376
